dgp,seed,ntrain,temperature,n_test,n_chains,n_posterior,gr_posterior_mean,gr_q5,gr_q25,gr_q50,gr_q75,gr_q95,rmse_credible,coverage_credible
1199_BNG_echoMonths,7,200,2.0,1750,8,1000,0.999666690826416,1.0000553131103516,0.9998114109039307,0.9997145533561707,1.0000059604644775,1.0009201765060425,11.831845555220575,0.7677142857142858
1199_BNG_echoMonths,7,200,3.0,1750,8,1000,1.001303791999817,1.0028412342071533,1.0024672746658325,1.0007470846176147,1.0015822649002075,1.0040725469589233,12.28676244005425,0.8960714285714286
1199_BNG_echoMonths,7,200,1.0,1750,8,1000,0.9996907114982605,1.0000416040420532,0.9996438026428223,1.0000346899032593,0.9998210072517395,0.9997056126594543,11.759733279276439,0.6397857142857143
1199_BNG_echoMonths,7,1000,1.0,1750,8,1000,0.9999116063117981,1.0001055002212524,1.0004463195800781,0.9999306797981262,1.0004836320877075,1.0007153749465942,11.508871511608731,0.4707857142857143
1199_BNG_echoMonths,7,1000,2.0,1750,8,1000,0.9999484419822693,0.999958336353302,1.0001853704452515,1.001146674156189,0.9999934434890747,1.001434326171875,11.542111870043597,0.6031428571428571
1199_BNG_echoMonths,7,1000,3.0,1750,8,1000,1.0020517110824585,1.0034979581832886,1.0030946731567383,1.0016310214996338,1.0036081075668335,1.005561351776123,11.821036316067296,0.7951428571428572
1199_BNG_echoMonths,7,10000,1.0,1750,8,1000,1.0409907102584839,1.0425022840499878,1.0232794284820557,1.0823172330856323,1.0672773122787476,1.1188315153121948,11.115174444776564,0.2827857142857143
1199_BNG_echoMonths,7,10000,2.0,1750,8,1000,1.0366250276565552,1.0439603328704834,1.0115517377853394,1.0648236274719238,1.0401488542556763,1.096846580505371,11.074523152616965,0.4134285714285715
1199_BNG_echoMonths,7,10000,3.0,1750,8,1000,1.0135499238967896,1.0037622451782227,1.0146934986114502,1.025527834892273,1.0122004747390747,1.0266815423965454,11.116298751457522,0.6484285714285714
1199_BNG_echoMonths,10,10000,1.0,1750,8,1000,1.05717134475708,1.015113115310669,1.0658210515975952,1.0888919830322266,1.1235281229019165,1.0489161014556885,11.395194455645793,0.2800714285714285
1199_BNG_echoMonths,10,10000,3.0,1750,8,1000,1.0314136743545532,1.0028568506240845,1.0205062627792358,1.0544277429580688,1.031700849533081,1.032981514930725,11.520184329644733,0.6297857142857143
1199_BNG_echoMonths,10,10000,2.0,1750,8,1000,1.0148051977157593,1.0055574178695679,1.0088675022125244,1.0361311435699463,1.006460189819336,1.0801218748092651,11.372259318349801,0.40621428571428575
1199_BNG_echoMonths,10,1000,1.0,1750,8,1000,1.0000367164611816,1.000089406967163,0.999805212020874,1.0012544393539429,0.9997480511665344,1.0007773637771606,11.752304783589434,0.4724285714285714
1199_BNG_echoMonths,10,1000,2.0,1750,8,1000,1.0002198219299316,1.0001466274261475,1.0007702112197876,1.00002920627594,0.9996740818023682,1.0002796649932861,11.750792653802787,0.6107142857142858
1199_BNG_echoMonths,10,1000,3.0,1750,8,1000,1.0020277500152588,1.0019094944000244,1.0006171464920044,1.0036581754684448,1.002798318862915,1.006744146347046,11.894246073401549,0.802
1199_BNG_echoMonths,10,200,1.0,1750,8,1000,0.9997642040252686,0.9998354911804199,0.9999573826789856,0.9998612403869629,0.9996709227561951,0.9999628067016602,12.120784492973439,0.6272857142857143
1199_BNG_echoMonths,10,200,2.0,1750,8,1000,0.9998899698257446,0.9999047517776489,1.0005626678466797,0.9997291564941406,0.9996955394744873,1.000017762184143,12.189368798253495,0.7361428571428572
1199_BNG_echoMonths,10,200,3.0,1750,8,1000,1.0009160041809082,1.0013282299041748,1.0019563436508179,1.0015535354614258,1.0007209777832031,1.0020837783813477,12.55094026971552,0.8874285714285713
1199_BNG_echoMonths,4,1000,3.0,1750,8,1000,1.0017542839050293,1.0026334524154663,1.0015186071395874,1.0021003484725952,1.0026394128799438,1.0080890655517578,12.26357479884905,0.7930714285714286
1199_BNG_echoMonths,4,1000,2.0,1750,8,1000,1.0001649856567383,1.000041127204895,1.000316858291626,1.0005894899368286,1.0000425577163696,1.0015283823013306,12.050357050890623,0.6175714285714285
1199_BNG_echoMonths,4,1000,1.0,1750,8,1000,0.9998522400856018,1.002089023590088,1.0004242658615112,1.0005075931549072,1.000773310661316,1.002608299255371,12.034259322966737,0.47792857142857137
1199_BNG_echoMonths,4,200,3.0,1750,8,1000,1.0002042055130005,0.9998617768287659,1.0005625486373901,1.0002745389938354,1.0000686645507812,1.0019147396087646,12.670817417378117,0.8392857142857143
1199_BNG_echoMonths,4,200,2.0,1750,8,1000,0.9997587203979492,0.9999774098396301,1.0000537633895874,0.9999476671218872,0.9998078346252441,1.001428246498108,12.252434453693555,0.6993571428571428
1199_BNG_echoMonths,4,200,1.0,1750,8,1000,0.9996782541275024,1.0000675916671753,1.000119686126709,0.9996554851531982,0.9996047019958496,0.9997369647026062,12.151340963013707,0.5805714285714286
1199_BNG_echoMonths,4,10000,2.0,1750,8,1000,1.0072396993637085,1.0107239484786987,1.008747935295105,1.014177918434143,1.0118170976638794,1.0357404947280884,11.629337111729333,0.3907857142857143
1199_BNG_echoMonths,4,10000,3.0,1750,8,1000,1.025654911994934,1.0136522054672241,1.009199857711792,1.0391361713409424,1.0362955331802368,1.0366915464401245,11.730610077316864,0.6128571428571429
1199_BNG_echoMonths,4,10000,1.0,1750,8,1000,1.030145287513733,1.0746791362762451,1.0571752786636353,1.031152367591858,1.0241353511810303,1.055343747138977,11.634943531342877,0.2749285714285714
1199_BNG_echoMonths,3,1000,3.0,1750,8,1000,1.0024865865707397,1.003434181213379,1.0038011074066162,1.0026057958602905,1.0033618211746216,1.0132635831832886,12.134869664202968,0.762
1199_BNG_echoMonths,3,1000,2.0,1750,8,1000,1.0000042915344238,1.0003143548965454,1.0005303621292114,1.0000029802322388,1.0008454322814941,1.0026437044143677,11.914987396959004,0.5867857142857144
1199_BNG_echoMonths,3,1000,1.0,1750,8,1000,0.9998817443847656,0.9999224543571472,1.0011528730392456,1.0010335445404053,0.9995946288108826,1.0024018287658691,11.892505551871388,0.4444285714285714
1199_BNG_echoMonths,3,10000,3.0,1750,8,1000,1.0118540525436401,1.017397165298462,1.0016199350357056,1.0175546407699585,1.0254539251327515,1.0514830350875854,11.508486344247691,0.6291428571428571
1199_BNG_echoMonths,3,10000,2.0,1750,8,1000,1.0229178667068481,1.0136475563049316,1.0093978643417358,1.0178266763687134,1.0094584226608276,1.0252125263214111,11.406944977293747,0.41021428571428575
1199_BNG_echoMonths,3,10000,1.0,1750,8,1000,1.0183227062225342,1.0237880945205688,1.0058485269546509,1.0612436532974243,1.0171462297439575,1.0709166526794434,11.427762605976529,0.28778571428571426
1199_BNG_echoMonths,3,200,1.0,1750,8,1000,0.9998106956481934,0.9997197985649109,0.999670684337616,1.0002778768539429,0.9998388290405273,0.9999588131904602,12.076138025978693,0.6112857142857142
1199_BNG_echoMonths,3,200,3.0,1750,8,1000,1.000921368598938,1.0030514001846313,1.002620816230774,1.0000666379928589,1.0001423358917236,1.0019559860229492,12.52518201748609,0.8785000000000001
