,rmse,coverage
s_50_t_10_dgp_additive,0.20907715584106426,0.9668
s_50_t_1_dgp_additive,0.7789017913079102,0.8684
s_50_t_5_dgp_additive,0.27483294908891237,0.972
s_100_t_10_dgp_additive,0.19526846085471147,0.9728
s_100_t_1_dgp_additive,0.7764101551369453,0.8568
s_100_t_5_dgp_additive,0.26307599963120953,0.9748
s_500_t_10_dgp_additive,0.1920989906032263,0.9732
s_500_t_1_dgp_additive,0.7679251263981347,0.8708
s_500_t_5_dgp_additive,0.2617302165789719,0.9784
s_1000_t_10_dgp_additive,0.18128361028492496,0.976
s_1000_t_1_dgp_additive,0.7762648462439242,0.8652
s_1000_t_5_dgp_additive,0.2903518758619647,0.9656
s_5000_t_10_dgp_additive,0.1941976037599868,0.9748
s_5000_t_1_dgp_additive,0.7428289614232949,0.874
s_5000_t_5_dgp_additive,0.273441177697606,0.9736
