MultiBART_Rhat_Sigma2,DefaultBART_Rhat_Sigma2,MultiBART_Rhat_RMSE,DefaultBART_Rhat_RMSE
1.798673260954692,2.0543530035478073,1.4520124510704706,1.7263460756258078
2.3338535431062644,2.1078977660956384,2.2361182954120657,1.4544541565080873
1.6618045974448326,1.696291888269988,2.1184661385444605,1.79044325355942
1.4816670814979829,1.4594915736437117,1.6792951310978075,2.2693443009161958
1.576724537036925,1.5705237939534247,1.8017176966040116,1.4763678904141213
1.7926901875423071,1.8592838413967665,1.5303549291891791,1.7568653898268263
1.7578388794678028,2.1067421182645165,1.7536691444307293,1.383055159465729
2.0576333970482983,1.569521148954619,1.1345885715296455,1.091039240326959
1.9677017961648045,1.6622803134780004,2.360370735888254,1.7270013741733332
1.7153867191028411,2.0763093956018985,1.7804511186073404,1.8805116322268836
