MultiBART_Rhat_Sigma2,DefaultBART_Rhat_Sigma2,MultiBART_Rhat_RMSE,DefaultBART_Rhat_RMSE
1.1463061939224246,1.0844242365487449,1.1068661934402493,1.1111704395942805
1.1177779038366724,1.0522682428262224,1.0542854547325768,1.1726340391389185
1.1041207788408864,1.1216330864537254,1.2229077090751548,1.2154202333919248
1.0415759305828123,1.0963412463973083,1.106131447776681,1.2270084400003558
1.0453331044147676,1.0659179381181667,1.1021737860363237,1.2789410512011081
1.0881545842749638,1.1578081101004978,1.1475306610338714,1.2921677947466097
1.1767373387227738,1.1098696000965977,1.1031029203679699,1.2689678222447247
1.1042291755322813,1.0244809564776434,1.0826641783923665,1.1408971927688984
1.0575344431427676,1.0369347229505332,1.1285081144395381,1.248660975812934
1.2580447194246842,1.0333845850236985,1.1885485669008244,1.4084860244144362
