MultiBART_Rhat_Sigma2,DefaultBART_Rhat_Sigma2,MultiBART_Rhat_RMSE,DefaultBART_Rhat_RMSE
1.5276841021519323,1.6520560668236473,1.7538800354641817,1.6329256176635267
1.7299704836300827,1.5426565943603743,1.6816682007723802,1.741892027670708
1.4101665650374136,1.524938346259597,2.0184145942685774,1.666140024335999
1.4782990264123865,1.7140374440541162,1.5781984480462932,1.7588681551370386
1.5129801937882,1.8828031919800898,1.525308378593998,1.7025454393831703
1.6055615041928764,1.644158591810119,1.7669353780403796,2.463167305245767
1.676194027102844,1.469976715469979,1.251449768900985,1.9532890904711662
1.5407493444616056,1.4741494785228502,1.491921638452959,1.533637169683343
1.8414844230560163,1.9953303163263723,1.516124558115762,1.8344807540964154
1.4372330315619113,1.5623423696787186,1.1739870967728516,1.7766311631250764
